Timestamp,Shortened Timestamp,Temperature,Humidity
2025-07-14T13:14:53.307296-04:00,13:14:55,29.00,41.00
2025-07-14T13:14:53.307296-04:00,13:14:56,29.00,41.00
2025-07-14T13:14:53.307296-04:00,13:14:58,29.00,41.00
2025-07-14T13:14:53.307296-04:00,13:14:59,29.00,41.00
2025-07-14T13:14:53.307296-04:00,13:15:01,29.00,41.00
2025-07-14T13:14:53.307296-04:00,13:15:02,29.00,41.00
2025-07-14T13:14:53.307296-04:00,13:15:04,29.00,41.00
2025-07-14T13:14:53.307296-04:00,13:15:06,29.00,41.00
2025-07-14T13:14:53.307296-04:00,13:15:07,29.00,41.00
2025-07-14T13:14:53.307296-04:00,13:15:09,29.00,41.00
